model,Gsolv,timing
246,-65.3040615,0.08
247,-66.929246,0.07
248,-65.8396635,0.07
249,-64.671316,0.07
250,-63.127522,0.08
251,-65.5298545,0.06
252,-63.5817335,0.06
253,-61.69925,0.06
254,-65.9079265,0.07
255,-65.753022,0.08
256,-62.09570049999999,0.06
257,-62.237477500000004,0.06
258,-66.00244450000001,0.06
259,-63.5187215,0.14
260,-66.1967315,0.06
261,-63.453084,0.06
262,-64.77896150000001,0.07
263,-64.8787305,0.07
264,-65.80815750000001,0.07
265,-64.6686905,0.15
266,-63.70775749999999,0.05
267,-63.634243500000004,0.06
268,-65.4773445,0.07
269,-64.9890015,0.19
270,-64.77896150000001,0.08
271,-64.655563,0.05
272,-66.8058475,0.06
273,-63.962431,0.06
274,-63.5607295,0.07
275,-65.4983485,0.06
276,-66.53279549999999,0.06
277,-69.533742,0.07
278,-65.747771,0.17
279,-67.181294,0.07
280,-65.8659185,0.07
281,-67.244306,0.07
282,-67.065772,0.05
283,-67.1734175,0.06
284,-66.50391499999999,0.08
285,-64.71069849999999,0.07
286,-65.9814405,0.06
287,-65.674257,0.05
288,-65.5981175,0.07
289,-61.5075885,0.2
290,-64.8419735,0.17
291,-64.3746345,0.15
292,-66.881987,0.16
293,-66.047078,0.15
294,-66.39364400000001,0.06
295,-65.4720935,0.06
296,-66.178353,0.06
297,-65.437962,0.06
298,-65.626998,0.06
299,-66.5432975,0.05
300,-65.5981175,0.06
301,-68.57280899999999,0.06
302,-64.823595,0.14
303,-64.16722,0.06
304,-64.8734795,0.06
305,-66.152098,0.07
306,-64.823595,0.06
307,-64.8524755,0.06
308,-65.5613605,0.07
309,-65.4248345,0.07
310,-62.132457499999994,0.19
311,-64.88398149999999,0.07
312,-64.7947145,0.06
313,-64.0333195,0.06
314,-64.19347499999999,0.07
315,-66.236114,0.07
316,-64.56104500000001,0.07
317,-64.1593435,0.06
318,-63.447833,0.07
319,-63.495092,0.06
320,-64.8682285,0.07
321,-64.0648255,0.06
322,-63.22204,0.08
323,-65.7766515,0.05
324,-65.947309,0.07
325,-62.4632705,0.06
326,-63.384821,0.07
327,-68.005701,0.14
328,-65.99194250000001,0.07
329,-64.0648255,0.05
330,-69.764786,0.06
331,-65.359197,0.06
332,-67.454346,0.07
333,-63.692004499999996,0.05
334,-62.1639635,0.05
335,-65.91055200000001,0.06
336,-63.74714,0.06
337,-65.1622845,0.07
338,-65.474719,0.08
339,-64.9837505,0.05
340,-63.437331,0.05
341,-64.6686905,0.05
342,-66.5643015,0.06
343,-66.1599745,0.08
344,-65.9079265,0.07
345,-66.08383500000001,0.06
346,-66.59580749999999,0.06
347,-65.1150255,0.07
348,-65.0572645,0.05
349,-64.3326265,0.05
350,-63.744514499999994,0.06
351,-63.731387,0.07
352,-66.398895,0.07
353,-65.0572645,0.07
354,-69.18717600000001,0.07
355,-64.676567,0.06
356,-64.918113,0.06
357,-64.81834400000001,0.05
358,-64.398264,0.08
359,-65.6191215,0.08
360,-65.02575850000001,0.06
361,-66.7585885,0.07
362,-65.1202765,0.06
363,-65.044137,0.07
364,-64.1488415,0.16
365,-66.9056165,0.16
366,-66.5695525,0.06
367,-66.79272,0.07
368,-64.55579399999999,0.06
369,-65.6663805,0.15
370,-64.4533995,0.16
371,-63.0933905,0.17
372,-64.9417425,0.07
373,-65.5823645,0.06
374,-65.264679,0.06
375,-65.301436,0.07
376,-65.2252965,0.07
377,-64.3326265,0.08
378,-63.177406500000004,0.08
379,-65.2463005,0.07
380,-64.944368,0.07
381,-67.375581,0.06
382,-64.860352,0.06
383,-64.335252,0.07
384,-65.437962,0.07
385,-65.95256,0.07
386,-65.01000549999999,0.07
387,-67.0368915,0.07
388,-65.768775,0.06
389,-69.2370605,0.07
390,-65.065141,0.05
391,-66.073333,0.06
392,-64.25648699999999,0.08
393,-65.8659185,0.05
394,-67.38870849999999,0.07
395,-65.5508585,0.08
396,-64.1225865,0.07
397,-65.8764205,0.08
398,-67.6092505,0.08
399,-64.697571,0.06
400,-63.111769,0.05
401,-65.7031375,0.07
402,-65.343444,0.07
403,-63.471462499999994,0.08
404,-64.8472245,0.06
405,-65.206918,0.07
406,-66.036576,0.05
407,-63.9860605,0.08
408,-65.705763,0.05
409,-66.776967,0.08
410,-64.0700765,0.07
411,-65.3618225,0.07
412,-64.897109,0.07
413,-64.345754,0.06
414,-63.363817,0.07
415,-67.622378,0.08
416,-65.128153,0.05
417,-65.621747,0.06
418,-64.3011205,0.05
419,-67.275812,0.06
420,-65.8921735,0.07
421,-64.781587,0.08
422,-67.33094750000001,0.06
423,-66.44090299999999,0.06
424,-64.88398149999999,0.06
425,-68.63582099999999,0.07
426,-64.42977,0.06
427,-63.2719245,0.06
428,-62.416011499999996,0.06
429,-63.513470500000004,0.06
430,-63.471462499999994,0.07
431,-64.965372,0.06
432,-64.477029,0.06
433,-66.435652,0.06
434,-63.390071999999996,0.06
435,-64.7474555,0.05
436,-65.01000549999999,0.05
437,-64.734328,0.08
438,-66.1652255,0.05
439,-67.32569649999999,0.06
440,-65.579739,0.08
441,-64.440272,0.07
442,-63.789148000000004,0.05
443,-66.95025,0.06
444,-67.26531,0.07
445,-68.0975935,0.06
446,-65.62437249999999,0.06
447,-66.9896325,0.05
448,-63.663123999999996,0.06
449,-65.57186250000001,0.07
450,-62.376629,0.06
451,-64.330001,0.07
452,-65.212169,0.06
453,-65.3513205,0.06
454,-66.44090299999999,0.07
455,-64.62405700000001,0.07
456,-64.7474555,0.06
457,-64.3168735,0.07
458,-64.860352,0.07
459,-63.768144,0.06
460,-66.21511,0.05
461,-65.1517825,0.07
462,-65.695261,0.08
463,-65.075643,0.05
464,-64.0228175,0.06
465,-64.771085,0.06
466,-65.8974245,0.07
467,-65.842289,0.06
468,-67.2574335,0.05
469,-66.771716,0.06
470,-65.138655,0.08
471,-66.0812095,0.06
472,-65.942058,0.06
473,-69.076905,0.07
474,-68.7119605,0.07
475,-66.7270825,0.07
476,-65.942058,0.06
477,-65.879046,0.07
478,-66.2649945,0.07
479,-65.8449145,0.07
480,-68.8799925,0.07
481,-65.658504,0.06
482,-66.251867,0.07
483,-65.7346435,0.07
484,-68.4704145,0.06
485,-66.1652255,0.06
486,-65.758273,0.05
487,-65.574488,0.07
488,-63.6394945,0.08
489,-63.2456695,0.05
490,-65.716265,0.07
491,-67.9243105,0.05
492,-66.20985900000001,0.07
493,-65.5141015,0.05
494,-65.700512,0.06
495,-66.2965005,0.05
496,-67.2364295,0.07
497,-65.13077849999999,0.06
498,-62.728446,0.06
499,-66.62468799999999,0.06
500,-65.1885395,0.07
501,-63.7025065,0.06
502,-66.829477,0.06
503,-64.450774,0.07
504,-66.50916600000001,0.05
505,-64.6896945,0.06
506,-65.332942,0.07
507,-65.6663805,0.07
508,-65.2042925,0.06
509,-66.84785550000001,0.06
510,-67.2416805,0.06
511,-66.65881949999999,0.07
512,-65.658504,0.08
513,-66.93974800000001,0.06
514,-67.2469315,0.07
515,-68.7881,0.07
516,-63.025127499999996,0.07
517,-66.98700699999999,0.07
518,-66.519668,0.05
519,-64.2958695,0.08
520,-67.2994415,0.05
521,-66.383142,0.05
522,-65.810783,0.07
523,-63.6447455,0.06
524,-67.753653,0.07
525,-67.35982800000001,0.06
526,-64.098957,0.06
527,-66.808473,0.07
528,-65.327691,0.05
529,-64.8629775,0.06
530,-68.389024,0.08
531,-65.453715,0.07
532,-67.3361985,0.07
533,-65.758273,0.05
534,-64.77371049999999,0.07
535,-64.613555,0.07
536,-61.90929,0.07
537,-65.53247999999999,0.07
538,-66.46978349999999,0.06
539,-65.091396,0.06
540,-66.451405,0.08
541,-67.3046925,0.05
542,-66.1127155,0.08
543,-66.06545650000001,0.06
544,-64.4271445,0.07
545,-65.884297,0.06
546,-65.64800199999999,0.07
547,-66.451405,0.06
548,-65.574488,0.07
549,-68.3758965,0.07
550,-62.885976,0.07
551,-65.401205,0.06
552,-63.849534500000004,0.06
553,-67.758904,0.08
554,-68.3758965,0.04
555,-66.104839,0.07
556,-65.89479899999999,0.06
557,-68.063462,0.07
558,-67.029015,0.07
559,-65.69263550000001,0.06
560,-62.8518445,0.06
561,-63.873163999999996,0.07
562,-65.406456,0.06
563,-66.60105850000001,0.06
564,-63.3506895,0.05
565,-65.69263550000001,0.06
566,-66.60105850000001,0.06
567,-66.556425,0.07
568,-64.0490725,0.05
569,-65.658504,0.07
570,-63.172155499999995,0.06
571,-64.981125,0.06
572,-67.800912,0.07
573,-65.3093125,0.06
574,-63.736638,0.06
575,-65.343444,0.07
576,-65.311938,0.07
577,-64.1435905,0.08
578,-66.23873950000001,0.06
579,-63.0986415,0.07
580,-67.24955700000001,0.05
581,-62.0274375,0.07
582,-66.0181975,0.06
583,-65.9551855,0.06
584,-64.7422045,0.07
585,-68.6436975,0.05
586,-65.50359949999999,0.06
587,-66.4645325,0.07
588,-65.9551855,0.08
589,-64.96274650000001,0.06
590,-64.6109295,0.06
591,-68.010952,0.06
592,-65.7451455,0.06
593,-68.4704145,0.07
594,-64.5899255,0.05
595,-63.98080949999999,0.08
596,-63.16953,0.07
597,-65.8396635,0.05
598,-65.065141,0.08
599,-66.1599745,0.08
600,-65.34869499999999,0.07
601,-67.181294,0.06
602,-65.579739,0.07
603,-63.944052500000005,0.08
604,-67.113031,0.06
605,-66.0759585,0.06
606,-68.830108,0.05
607,-64.708073,0.07
608,-65.6716315,0.06
609,-64.27224,0.06
610,-67.4622225,0.08
611,-66.83210249999999,0.07
612,-65.67688249999999,0.07
613,-64.1961005,0.06
614,-65.065141,0.07
615,-65.821285,0.07
616,-66.461907,0.07
617,-64.3693835,0.06
618,-65.9604365,0.07
619,-66.782218,0.05
620,-63.489841,0.06
621,-67.932187,0.05
622,-62.476398,0.06
623,-67.4412185,0.06
624,-64.676567,0.07
625,-65.6663805,0.05
626,-67.5514895,0.06
627,-66.934497,0.07
628,-65.20954350000001,0.06
629,-65.705763,0.07
630,-65.8239105,0.08
631,-67.7825335,0.06
632,-67.9610675,0.06
633,-68.415279,0.06
634,-67.9085575,0.08
635,-67.2521825,0.07
636,-66.419899,0.06
637,-61.300174,0.06
638,-65.8396635,0.07
639,-63.329685500000004,0.07
640,-64.6109295,0.07
641,-66.0969625,0.07
642,-63.888917000000006,0.07
643,-65.8239105,0.07
644,-66.0969625,0.06
645,-65.5298545,0.06
646,-65.31981449999999,0.07
647,-66.3175045,0.06
648,-64.89448349999999,0.06
649,-64.550543,0.06
650,-67.89543,0.06
651,-66.608935,0.07
652,-65.7766515,0.07
653,-66.2544925,0.05
654,-64.0805785,0.06
655,-65.978815,0.06
656,-65.3985795,0.07
657,-61.6703695,0.08
658,-63.755016499999996,0.06
659,-66.230863,0.06
660,-65.669006,0.06
661,-62.8675975,0.06
662,-65.968313,0.07
663,-65.1675355,0.05
664,-66.2439905,0.05
665,-65.196416,0.06
666,-65.4563405,0.06
667,-64.676567,0.07
668,-65.999819,0.06
669,-65.5141015,0.06
670,-64.056949,0.06
671,-62.964741,0.06
672,-64.1908495,0.05
673,-62.444891999999996,0.06
674,-66.593182,0.06
675,-67.84817100000001,0.07
676,-63.7497655,0.07
677,-66.734959,0.08
678,-63.894168,0.06
679,-63.311307,0.07
680,-65.721516,0.07
681,-65.2463005,0.08
682,-65.9341815,0.05
683,-64.0648255,0.07
684,-65.191165,0.06
685,-66.50916600000001,0.06
686,-66.9161185,0.07
687,-64.876105,0.06
688,-66.4120225,0.07
689,-64.933866,0.07
690,-65.978815,0.07
691,-63.7497655,0.06
692,-67.8245415,0.06
693,-65.9971935,0.08
694,-65.0625155,0.07
695,-66.37264,0.07
696,-67.4307165,0.07
697,-65.4773445,0.07
698,-65.075643,0.06
699,-65.6138705,0.07
700,-66.3227555,0.06
701,-65.1045235,0.06
702,-67.31519449999999,0.08
703,-66.6483175,0.06
704,-63.2036615,0.06
705,-64.7422045,0.06
706,-64.2538615,0.05
707,-64.8524755,0.08
708,-66.9948835,0.06
709,-62.605047500000005,0.06
710,-60.49152,0.05
711,-64.298495,0.05
712,-68.656825,0.06
713,-65.296185,0.09
714,-67.664386,0.07
715,-64.1961005,0.07
716,-67.097278,0.05
717,-68.084466,0.06
718,-63.332311000000004,0.06
719,-64.319499,0.07
720,-68.236745,0.06
721,-66.8005965,0.06
722,-66.041827,0.07
723,-64.471778,0.05
724,-63.127522,0.06
725,-66.33063200000001,0.05
726,-66.036576,0.06
727,-67.22330199999999,0.07
728,-64.5059095,0.06
729,-63.1038925,0.08
730,-64.771085,0.06
731,-65.343444,0.06
732,-63.447833,0.08
733,-66.8373535,0.06
734,-66.881987,0.06
735,-66.1179665,0.07
736,-65.05463900000001,0.06
737,-62.169214499999995,0.05
738,-65.432711,0.06
739,-64.2643635,0.07
740,-64.135714,0.06
741,-67.03164050000001,0.06
742,-66.577429,0.05
743,-64.828846,0.07
744,-61.630987,0.06
745,-65.926305,0.08
746,-63.6867535,0.06
747,-65.191165,0.07
748,-63.2194145,0.05
749,-65.044137,0.07
750,-65.012631,0.06
751,-64.513786,0.06
752,-66.288624,0.06
753,-65.1360295,0.08
754,-65.138655,0.06
755,-67.18654500000001,0.07
756,-65.763524,0.06
757,-66.08383500000001,0.06
758,-65.3513205,0.06
759,-64.303746,0.06
760,-67.622378,0.06
761,-67.5987485,0.05
762,-66.519668,0.07
763,-63.2299165,0.08
764,-63.232542,0.06
765,-66.771716,0.06
766,-65.732018,0.06
767,-66.23873950000001,0.06
768,-64.33787749999999,0.06
769,-66.860983,0.08
770,-66.70345300000001,0.06
771,-63.468837,0.06
772,-64.823595,0.07
773,-63.22466550000001,0.06
774,-65.2830575,0.07
775,-66.4540305,0.05
776,-62.2742345,0.05
777,-65.00738,0.07
778,-64.2958695,0.06
779,-64.5269135,0.07
780,-66.498664,0.06
781,-63.8127775,0.06
782,-67.123533,0.07
783,-65.437962,0.07
784,-64.7632085,0.07
785,-65.306687,0.07
