model,Gsolv,timing
223,-3608.103877,33.96
224,-3535.661081,33.87
225,-3625.6868505,32.88
226,-3656.155778,33.41
227,-3581.9250165,33.83
228,-3542.9573454999995,32.94
229,-3532.5603655,32.9
230,-3566.2980405,33.83
231,-3566.4030605,32.71
232,-3590.4158835000003,34.61
233,-3507.4290795,32.87
234,-3528.756016,33.04
235,-3563.5990264999996,32.43
236,-3620.0604040000003,32.34
237,-3599.4318505,32.67
238,-3530.35232,33.61
239,-3519.136184,33.54
240,-3502.3303585,32.88
241,-3500.8495765,33.21
242,-3630.6805515,33.13
243,-3556.8541170000003,33.36
244,-3573.0875834999997,33.38
245,-3580.9063225,34.08
246,-3522.6359755,34.0
247,-3535.5639375,33.68
248,-3580.5912625,34.41
249,-3551.1856625,33.53
250,-3484.77364,35.3
251,-3481.5416495,33.73
252,-3493.3091404999996,34.51
253,-3508.5580445,34.07
254,-3571.6068014999996,34.28
255,-3540.7965590000003,33.51
256,-3606.6230950000004,34.49
257,-3536.532747,33.89
258,-3543.385302,34.02
259,-3581.544319,34.6
260,-3581.118988,33.58
261,-3611.874095,33.37
262,-3577.8764955,33.3
263,-3529.6224310000002,33.78
264,-3577.947384,33.93
265,-3571.7800845,33.15
266,-3465.990813,33.35
267,-3530.7960295,33.88
268,-3528.7953985,33.85
269,-3595.5041025,33.84
270,-3517.0121544999997,34.57
271,-3505.2315360000002,34.01
272,-3485.7765809999996,33.82
273,-3519.766304,34.96
274,-3566.8493955,34.83
275,-3519.2543315000003,34.42
276,-3489.1398464999997,34.28
277,-3548.1952180000003,34.91
278,-3538.0424095,34.81
279,-3566.169391,34.33
280,-3536.1730534999997,33.53
281,-3600.6973414999998,34.0
282,-3621.8798755000003,34.89
283,-3601.5007445,34.6
284,-3620.905815,35.19
285,-3531.8226,34.88
286,-3515.365966,35.17
287,-3536.4145995,35.19
288,-3566.395184,34.01
289,-3451.7159695,33.94
290,-3468.4010220000005,35.03
291,-3513.3469565,34.71
292,-3529.3887615000003,34.47
293,-3526.2381615,34.43
294,-3487.147092,35.05
295,-3612.1156410000003,34.8
296,-3624.917579,34.96
297,-3535.3670249999996,33.75
298,-3641.5921295,33.83
299,-3599.0485275,33.85
300,-3616.789031,34.45
301,-3606.1715090000002,33.93
302,-3495.7088475,33.44
303,-3587.0079845,33.97
304,-3608.345423,34.18
305,-3613.31812,34.51
306,-3559.0647879999997,34.08
307,-3588.0424315,34.12
308,-3599.502739,34.0
309,-3554.6066889999997,35.2
310,-3548.4918995,33.74
311,-3542.3613569999998,33.98
312,-3557.951576,33.22
313,-3500.4767555,33.55
314,-3625.8758864999995,34.54
315,-3534.3640840000003,34.37
316,-3632.363497,34.65
317,-3525.132826,34.93
318,-3557.4501055,34.96
319,-3651.1174435,36.12
320,-3615.1218385,35.83
321,-3503.0444945,35.42
322,-3628.792817,35.86
323,-3557.5078665,35.73
324,-3575.4479079999996,35.12
325,-3637.829788,35.01
326,-3664.0611585,36.19
327,-3667.602958,35.38
328,-3686.8084905,35.02
329,-3652.611353,35.85
330,-3665.387036,36.02
331,-3680.6543185000005,36.56
332,-3730.0347225,35.61
333,-3672.5047665,34.81
334,-3606.0087280000002,35.51
335,-3691.5396415,35.95
336,-3653.5171505,35.36
337,-3694.241281,35.41
338,-3654.0737565000004,35.04
339,-3562.619715,35.38
340,-3527.1413335,34.47
341,-3520.5933365,34.0
342,-3529.5095345,35.2
343,-3530.0346345000003,33.79
344,-3564.4759435,34.46
345,-3531.885612,36.09
346,-3553.8794255000003,34.87
347,-3566.7391245,35.63
348,-3600.4347915,36.74
349,-3594.0889580000003,35.69
350,-3618.742403,35.92
351,-3556.1898655,36.24
352,-3550.1774705,35.35
353,-3514.1004749999997,34.25
354,-3604.7038545,34.89
355,-3668.521883,35.2
356,-3580.1685570000004,35.02
357,-3683.9571975000003,35.31
358,-3613.8668495,35.28
359,-3530.9850655,36.21
360,-3600.5476879999997,34.9
361,-3500.3507315,35.37
362,-3600.495178,34.74
363,-3552.7425839999996,35.16
364,-3515.1506750000003,34.35
365,-3631.6257315000003,34.48
366,-3624.5211285,34.12
367,-3507.19541,34.51
368,-3606.1793855,35.12
369,-3583.823253,34.65
370,-3650.694738,35.33
371,-3606.6204694999997,36.37
372,-3605.446871,34.61
373,-3629.8088855,35.57
374,-3571.3074945,34.65
375,-3667.818249,36.02
376,-3629.0474905,35.47
377,-3537.4385445000003,35.31
378,-3608.151136,34.76
379,-3570.569729,34.34
380,-3618.8658014999996,35.59
381,-3622.8250555,34.47
382,-3546.667177,33.71
383,-3614.4943439999997,34.97
384,-3563.7591820000002,34.32
385,-3627.6743539999998,36.16
386,-3599.9096915,34.35
387,-3652.107257,33.94
388,-3637.4622179999997,34.06
389,-3679.0265085,34.04
390,-3645.212694,34.79
391,-3628.2624659999997,34.6
392,-3639.300068,34.76
393,-3640.9830134999997,34.85
394,-3560.5744505000002,35.22
395,-3549.9411755,34.98
396,-3623.5286895,35.06
397,-3635.7372645,35.6
398,-3672.1476985,34.89
399,-3729.7879255,34.89
400,-3620.086659,35.43
401,-3580.8695654999997,34.11
402,-3583.833755,34.87
403,-3647.3104685,34.87
404,-3639.2974424999998,34.26
405,-3554.9663825,34.57
406,-3685.6585215,35.3
407,-3685.4537325,35.27
408,-3533.4556610000004,35.16
409,-3488.0161325,33.67
410,-3527.627051,33.9
411,-3615.355508,35.0
412,-3645.8401885000003,34.88
413,-3646.1841289999998,34.73
414,-3670.1890755,34.35
415,-3644.5694464999997,34.53
416,-3558.2692615,34.34
417,-3655.509905,34.81
418,-3624.802057,34.6
419,-3684.2670064999998,36.03
420,-3580.9273265,34.73
421,-3565.2793464999995,34.22
422,-3599.397719,35.22
423,-3635.1071445,34.6
424,-3632.5394055,35.26
425,-3560.2856455,34.45
426,-3627.02323,34.92
427,-3573.8804845,35.43
428,-3603.209945,34.92
429,-3632.316238,35.12
430,-3601.0439075,35.72
431,-3573.9539985,34.31
432,-3516.1982494999997,34.91
433,-3513.958698,35.3
434,-3583.870512,35.77
435,-3532.027389,35.37
436,-3583.928273,34.44
437,-3583.686727,34.74
438,-3568.5822255000003,34.2
439,-3571.761706,35.02
440,-3641.757536,33.63
441,-3647.0899265,34.84
442,-3611.826836,34.89
443,-3647.1949465000002,34.62
444,-3529.496407,35.05
445,-3639.9643195000003,34.56
446,-3587.1103789999997,35.32
447,-3660.6480085,36.04
448,-3608.523957,35.63
449,-3589.8251459999997,35.36
450,-3539.809371,35.62
451,-3590.087696,35.52
452,-3560.1018605,35.8
453,-3582.6128974999997,35.64
454,-3609.227591,36.06
455,-3591.657745,35.61
456,-3656.9670575,36.52
457,-3581.2030040000004,35.89
458,-3536.4251015,35.91
459,-3568.2986715,36.11
460,-3596.2891269999996,36.58
461,-3648.4525609999996,37.91
462,-3584.0569225,36.51
463,-3726.58219,36.48
464,-3684.5348074999997,36.58
465,-3632.095696,35.67
466,-3557.8911895,35.36
467,-3566.7890089999996,36.16
468,-3505.756636,35.97
469,-3569.876597,36.54
470,-3543.5113260000003,36.27
471,-3535.120228,36.25
472,-3548.9749915,36.0
473,-3469.4433455000003,35.99
474,-3566.3794310000003,35.76
475,-3561.8714475,35.28
476,-3619.6429495,35.39
477,-3560.9472714999997,35.66
478,-3613.8721005,35.17
479,-3491.936004,35.61
480,-3571.294367,36.0
481,-3631.4944564999996,36.83
482,-3562.745739,36.48
483,-3546.3442404999996,35.8
484,-3677.196535,35.18
485,-3656.63887,34.91
486,-3641.7181535,35.49
487,-3689.200321,36.22
488,-3581.0402230000004,36.53
489,-3675.4243224999996,34.89
490,-3690.4631865,35.42
491,-3648.2766525,35.09
492,-3557.615512,36.12
493,-3518.1805019999997,35.57
494,-3553.173166,35.72
495,-3588.4808900000003,35.66
496,-3520.3675435,35.39
497,-3503.5905985,35.27
498,-3500.7760625,34.61
499,-3544.493263,35.07
500,-3493.3931565,35.4
