model,Gsolv,timing
231,-19245.298323,29.65
232,-19869.335039499998,30.01
233,-19539.8347895,30.15
234,-19640.8955355,29.55
235,-19199.1604115,28.91
236,-19088.288172,29.59
237,-19228.500374,29.26
238,-19100.09242,29.53
239,-19306.1547875,29.22
240,-19286.991263,29.64
241,-18835.772833,30.03
242,-19057.8507505,29.22
243,-19250.6464665,28.71
244,-19329.0649005,29.96
245,-19667.9119305,29.32
246,-19274.236584,30.63
247,-19612.406235,30.07
248,-19745.7842605,30.64
249,-19308.824921,30.17
250,-19203.3454585,29.86
251,-19304.744894,29.81
252,-19825.93815,30.23
253,-19375.197561,29.9
254,-19482.591013,30.04
255,-19878.799967,29.32
256,-19415.997831,29.14
257,-19767.0403085,29.36
258,-20101.2979645,29.53
259,-19799.6175125,29.19
260,-19422.060110500002,29.63
261,-20002.5896665,29.68
262,-19426.5602175,29.54
263,-19429.90773,29.81
264,-19587.3668415,29.11
265,-19570.072673000002,29.25
266,-19485.8177525,29.33
267,-19515.147213,29.96
268,-19240.199602,29.17
269,-19465.08943,29.57
270,-19489.438317,30.4
271,-19475.197604999998,30.63
272,-19211.5265165,29.35
273,-19259.384130500002,29.83
274,-19528.3088445,29.36
275,-19209.153064500002,30.49
276,-19051.142598,29.38
277,-19191.365302000002,30.14
278,-19310.090411999998,30.49
279,-19467.29485,30.02
280,-19951.7284805,30.78
281,-19604.387958,31.21
282,-19565.01596,29.81
283,-19613.020602,29.52
284,-19666.8932365,30.33
285,-19366.559665999997,30.39
286,-19390.044763500002,29.77
287,-19589.8663175,29.06
288,-19512.3037965,29.25
289,-19723.370367,29.53
290,-19790.8588445,29.14
291,-19625.7884085,28.96
292,-19359.17676,29.06
293,-19795.2486805,30.36
294,-19280.9079795,30.96
295,-19582.4834115,30.14
296,-19711.608127,31.52
297,-19670.516426500002,32.64
298,-19544.8232395,32.45
299,-19484.2634565,31.65
300,-19527.014473,31.39
301,-20035.332276999998,30.46
302,-19318.646916499998,31.6
303,-19584.9198755,32.65
304,-19329.1909245,31.9
305,-19390.118277499998,30.41
306,-19261.051323,30.0
307,-19131.2859855,29.88
308,-19136.1799175,28.69
309,-19606.719402,30.36
310,-19463.8055605,30.39
311,-19322.044313500002,30.44
312,-19240.0446975,30.82
313,-19404.2697225,30.81
314,-19516.3733215,30.05
315,-19550.189761499998,30.67
316,-19759.161183,31.38
317,-19704.5534085,31.23
318,-19819.1564835,30.57
319,-19365.984681500002,30.66
320,-19471.18059,30.46
321,-19358.8328195,31.09
322,-19435.710085,30.21
323,-19638.9211595,29.9
324,-19472.031252,30.26
325,-19222.4380945,30.96
326,-19195.6527435,30.39
327,-19418.208501999998,30.72
328,-18968.4314715,29.79
329,-19003.4923985,29.84
330,-19354.049158499998,30.49
331,-19316.1316875,30.54
332,-19707.4887175,30.16
333,-19580.2464855,30.16
334,-19264.994823999998,29.85
335,-19197.309434,29.2
336,-19397.9265145,28.58
337,-19083.058176,29.58
338,-19302.9621795,30.51
339,-18893.822638,29.77
340,-18960.583852,29.24
341,-18933.383672,29.91
342,-18967.92475,29.31
343,-18914.2464025,29.15
344,-18736.717969,29.2
345,-18867.9325825,29.39
346,-18987.395458,29.37
347,-18812.584417,29.61
348,-19003.2193465,29.76
349,-18824.6538405,29.48
350,-19126.040236499997,30.17
351,-18835.292366499998,31.43
352,-18847.9394,30.07
353,-18881.335759999998,30.61
354,-19178.4137105,31.15
355,-19087.2038405,32.18
356,-19061.544829,31.13
357,-18809.4101875,31.71
358,-18996.9811585,30.74
359,-19116.7774725,29.86
360,-19053.321763,31.26
361,-19037.8811975,29.75
362,-19030.9656305,29.47
363,-19264.086401,29.89
364,-19353.2772615,30.49
365,-19153.117018,30.68
366,-19096.0990345,30.15
367,-19411.054014499998,30.59
368,-19061.140502000002,30.91
369,-19158.74609,31.55
370,-19566.872188499998,30.21
371,-19343.203218,30.79
372,-19407.6881235,30.68
373,-19385.400254,29.7
374,-19217.741075,29.31
375,-19186.1116765,29.88
376,-19079.240699,29.26
377,-19120.303519,29.28
378,-19183.4389175,31.12
379,-18941.7406385,30.05
380,-18910.835877999998,30.15
381,-19082.997789499997,29.39
382,-18762.474124,29.68
383,-18725.995427,30.17
384,-18855.516593,30.44
385,-18904.1382275,29.42
386,-19099.3704075,30.38
387,-19082.4569365,30.02
388,-19209.817316,30.27
389,-19052.534112999998,30.8
390,-19383.599161,30.97
391,-19407.709127500002,30.04
392,-19096.737031,30.48
393,-19334.91714,30.86
394,-19360.305725,31.58
395,-19539.2729325,31.46
396,-19322.0075565,30.81
