model,Gsolv,timing
231,-19162.9915235,30.85
232,-18935.1663865,30.66
233,-18604.382267,29.8
234,-18994.1876265,30.81
235,-18712.731401,30.06
236,-18577.1059475,30.95
237,-18785.4918825,30.57
238,-18744.229524500002,31.63
239,-18973.322778,30.74
240,-18907.3203335,30.83
241,-18689.296188,30.23
242,-19052.633882000002,31.64
243,-18893.2896615,31.15
244,-18907.6826525,31.16
245,-18727.3895675,30.1
246,-18961.082696999998,29.54
247,-18821.3772165,30.03
248,-18800.412599,30.49
249,-19074.483293,30.03
250,-19060.2819635,30.89
251,-18701.4496275,30.8
252,-18588.713283,30.99
253,-18830.6977415,31.97
254,-18797.256748,31.46
255,-18774.3020015,31.27
256,-18587.468796,30.68
257,-18738.104233000002,31.68
258,-19054.4060945,32.07
259,-19025.176402999998,32.32
260,-18770.098576,31.49
261,-19398.5881405,31.93
262,-18893.533833,30.59
263,-18848.538013999998,29.42
264,-19126.699237,29.02
265,-19126.2922845,29.82
266,-18780.4561735,29.28
267,-19284.8672335,29.32
268,-19197.91855,29.43
269,-19202.1377285,30.03
270,-19270.723665,30.04
271,-18912.910023,30.82
272,-19345.8418455,31.08
273,-19195.3586875,30.21
274,-19132.659122,31.15
275,-19117.0032655,32.63
276,-19180.4143415,31.1
277,-19174.601484500003,30.97
278,-19080.030974499998,31.4
279,-18932.1680655,32.01
280,-18998.469817,31.17
281,-19221.931373,29.94
282,-18872.030988,31.76
283,-19281.2650475,32.62
284,-19309.8462405,32.06
285,-19213.745064,31.61
286,-19290.2862655,32.9
287,-19082.5094465,30.9
288,-19236.6525515,31.82
289,-19144.9333345,30.93
290,-19261.2744905,30.61
291,-19004.639742,31.23
292,-19121.327464,31.79
293,-19112.579298,31.59
294,-19093.599558500002,31.06
295,-19000.150137,31.61
296,-19031.341077,30.81
297,-19028.474031,31.38
298,-19159.7043975,32.02
299,-19187.1986335,31.89
300,-19125.7146745,31.58
301,-19174.4544565,31.76
302,-19046.561100500003,32.58
303,-18880.70564,32.3
304,-19165.430613,31.81
305,-18975.753991,32.32
306,-19118.6835855,32.05
307,-19420.2695195,32.82
308,-19115.953065499998,32.35
309,-19549.4021115,32.59
310,-19342.184524,32.67
311,-19618.4790165,32.34
312,-19167.5336385,31.82
313,-19196.406262,31.95
314,-19393.3791485,31.44
315,-19254.6424775,31.72
316,-19321.5612215,32.49
317,-19206.225632,31.69
318,-19118.4682945,32.3
319,-19108.320737000002,31.93
320,-19137.6922055,31.46
321,-18977.090370500002,31.95
322,-19363.5062095,33.07
323,-19325.99044,31.85
324,-19252.37142,32.37
325,-19381.157445999997,32.92
326,-19234.638793000002,33.12
327,-19263.697827,32.7
328,-19360.7546855,31.94
329,-19108.7854505,31.13
330,-19234.665048,32.18
331,-19482.1420525,32.03
332,-19311.3427755,32.98
333,-19656.5120095,32.01
334,-19269.137863,31.54
335,-19166.244518,30.17
336,-18948.926632,30.96
337,-19088.440451,30.6
338,-18909.4889965,31.29
339,-18824.6485895,32.17
340,-18822.913134,30.01
341,-18946.715960999998,31.27
342,-18655.2145725,30.42
343,-19076.819988,31.52
344,-18661.6575495,31.55
345,-18800.5990095,30.87
346,-18842.037276,30.86
347,-19150.286729,32.06
348,-19037.18544,30.43
349,-19026.2712365,31.34
350,-19469.5133975,31.18
351,-19232.7458075,31.35
352,-19438.6690235,31.46
353,-19449.1290155,30.95
354,-19136.214049000002,30.56
355,-19341.6095395,31.06
356,-19210.190136999998,30.83
357,-19428.663243,31.98
358,-19497.264932500002,32.16
359,-19382.086873,32.06
360,-19413.115032,33.0
361,-19388.981436,32.52
362,-19436.9361935,31.83
363,-19634.85426,30.7
364,-19605.432907,31.28
365,-19211.9308435,31.13
366,-19417.373593,32.64
367,-19402.0432985,30.98
368,-19478.9441935,30.86
369,-19478.16442,31.12
370,-19495.750019000003,32.1
371,-19370.642318500002,31.75
372,-19331.903066,32.12
373,-19273.5145715,31.99
374,-19111.1746555,32.0
375,-19568.261078,31.64
376,-19609.885755,31.94
377,-19573.0001055,32.02
378,-19669.0198915,32.49
379,-19633.326219,31.47
380,-19558.7488915,30.53
381,-19249.058039,31.7
382,-19435.1823595,31.03
383,-19159.7254015,30.17
384,-19102.733673,31.1
385,-19285.7494015,30.95
386,-18928.783796,30.66
387,-19089.955364499998,31.26
388,-19337.3299745,31.53
389,-19056.401474500002,31.59
390,-19119.3819685,32.48
391,-19210.289905999998,31.81
392,-19428.395442,31.74
393,-18938.8735925,31.3
394,-19066.5096495,31.6
395,-18917.179086,31.91
396,-19073.1206585,31.15
397,-18871.923342500002,31.43
398,-18771.4822145,31.99
399,-19063.0229855,32.42
400,-19451.3396865,32.3
401,-19047.414387999997,32.32
402,-19332.123608,31.83
403,-19468.812389,32.21
404,-19035.365968500002,32.1
405,-19111.4739625,32.86
406,-18836.3163115,31.13
407,-19085.3134805,31.66
408,-19010.308196500002,33.24
409,-19226.531249,32.79
410,-19067.5703515,32.62
411,-18803.5238165,32.04
412,-18801.2711375,31.63
413,-18686.678564499998,30.68
414,-18658.945408,30.37
415,-18777.89106,29.52
416,-18516.170718,32.21
417,-18853.392563499998,33.63
418,-19006.4224565,32.54
419,-18722.128065499997,31.78
420,-18721.353543,30.84
421,-18721.306284000002,30.95
422,-18964.1046475,31.04
423,-18657.501383,31.17
424,-18632.7823005,31.33
425,-18548.023284000003,31.02
426,-19102.229577000002,31.28
427,-18994.7809895,31.77
428,-18810.998615,33.03
429,-18424.2283335,32.07
430,-18945.5528645,32.1
431,-19032.548807,32.02
432,-18963.227730500003,31.64
433,-18862.4557895,32.55
434,-19120.487304,32.37
435,-19087.153956,32.99
436,-19035.2031875,31.62
437,-18815.992316,32.01
438,-19519.374268,31.91
439,-19299.509647,31.49
440,-19137.211739000002,31.14
441,-18889.965778499998,32.76
442,-18992.9956495,33.53
443,-18881.104715999998,31.05
444,-18794.773025,30.84
445,-19277.7521285,31.1
446,-18762.172191499998,31.16
447,-19157.475348,31.04
448,-19046.390443,31.76
449,-19285.0352655,31.54
450,-19395.014835,33.65
451,-19165.042039,32.96
452,-18951.877694,31.59
453,-18792.903669,33.22
454,-19101.3185285,33.85
455,-18788.4061875,32.85
456,-18550.5883975,31.76
457,-18528.8650105,32.7
458,-18815.7796505,32.21
459,-18540.251804,32.26
460,-18723.0837475,31.55
461,-19154.9417405,32.55
462,-19193.1427655,33.09
463,-19441.412671000002,33.91
464,-19480.543123,33.54
465,-19061.198263,31.63
466,-19255.6349165,32.65
467,-19330.7767265,32.68
468,-19189.3672965,35.35
469,-19130.049375,33.88
470,-19305.8082215,33.8
471,-19095.0173285,32.99
472,-19503.47424,32.84
473,-19099.2443835,33.86
474,-19022.9631065,33.14
475,-18905.7135275,33.06
476,-18901.441839,33.02
477,-18840.0392705,32.15
478,-19104.308973,33.39
479,-19557.864098,34.0
480,-19354.5164975,33.73
481,-19075.113413,32.9
482,-18841.0684665,33.18
483,-18695.0381565,34.45
484,-18666.506847999997,33.78
485,-18731.023259499998,34.5
486,-18723.553712,33.26
487,-18589.180622,34.6
488,-18750.496593,33.48
489,-19030.815977,33.55
490,-18999.015921,34.19
491,-19323.233665,32.91
492,-18868.9302725,32.65
493,-19306.14166,33.43
494,-18969.418659500003,34.52
495,-19107.485828,32.86
496,-19203.174801,32.26
497,-19126.378926,33.25
498,-19380.7977525,33.24
499,-19201.3185725,32.67
500,-19043.733437,32.47
501,-19124.8272555,32.84
502,-19311.660461,32.49
503,-19245.266817,32.19
504,-19480.8975655,32.89
505,-19486.949343,31.98
506,-19203.1879285,32.22
507,-19100.4416115,32.13
508,-19387.6188015,31.91
509,-19597.1337015,32.22
510,-19374.7591025,32.2
511,-19383.0924395,34.5
512,-19560.7022635,33.66
513,-19651.6443325,33.0
514,-19430.0311285,32.71
515,-19637.2618435,32.08
516,-19392.347327,33.21
517,-19103.332287,34.5
518,-19151.862029,34.82
519,-19317.814632999998,33.39
520,-18784.460060999998,32.6
521,-18718.7149155,33.87
522,-18583.7852195,33.63
523,-19009.98526,33.0
