model,Gsolv,timing
221,-3771.536001,32.68
222,-3768.4720425,32.65
223,-3737.4780149999997,32.71
224,-3725.705273,33.23
225,-3729.4623635,32.17
226,-3819.220332,31.76
227,-3811.3674615,32.54
228,-3762.5541655,33.17
229,-3820.15501,34.49
230,-3831.1689825,33.11
231,-3893.3303204999997,33.1
232,-3759.800016,33.66
233,-3824.3584355,33.5
234,-3771.257698,33.51
235,-3764.8173465,34.31
236,-3684.3378949999997,33.56
237,-3811.517115,32.9
238,-3783.072448,34.88
239,-3856.9566434999997,34.33
240,-3796.1133065,33.96
241,-3764.6283104999998,33.19
242,-3840.345105,33.67
243,-3802.8398375,32.56
244,-3831.0324565,33.25
245,-3816.5291945,33.16
246,-3841.768126,33.88
247,-3900.190752,33.96
248,-3913.024196,33.95
249,-3764.751709,33.72
250,-3795.6092105,34.06
251,-3849.7207654999997,34.11
252,-3829.8588579999996,33.59
253,-3762.777333,34.26
254,-3811.9293184999997,34.62
255,-3865.1560799999997,33.25
256,-3930.173962,33.66
257,-3996.3208090000003,33.79
258,-3886.417379,34.49
259,-3918.7845429999998,34.06
260,-3919.4960535000005,33.21
261,-3911.4777765,33.31
262,-3923.3660405,33.73
263,-3870.800905,33.4
264,-3932.757454,34.31
265,-3945.4753760000003,33.01
266,-3968.516764,34.37
267,-3921.5675730000003,34.45
268,-3924.3506030000003,34.36
269,-3899.828433,32.78
270,-3879.601581,33.29
271,-3901.398482,32.52
272,-3872.6282530000003,33.04
273,-3865.738941,32.87
274,-3861.63791,32.31
275,-3873.363393,31.97
276,-3850.5136665,32.62
277,-3850.705328,33.58
278,-3959.175235,32.83
279,-3874.5632465,34.14
280,-3938.8249845,33.78
281,-3964.153183,35.14
282,-3875.0857210000004,35.78
283,-3907.1614545,33.62
284,-3937.7012705,34.14
285,-3957.799473,34.47
286,-3903.3150969999997,33.84
287,-3898.9068825,33.57
288,-3935.430213,32.79
289,-3885.4695735,35.51
290,-3803.294049,34.43
291,-3848.5130355,33.59
292,-3886.028805,32.92
293,-3876.5586264999997,34.38
294,-3839.415678,34.89
295,-3878.0709145,35.14
296,-3843.369681,33.49
297,-3899.8205565,33.39
298,-3883.508325,33.99
299,-3808.0278255000003,33.84
300,-3880.4706214999997,33.86
301,-3795.5777045,33.84
302,-3826.7266364999996,33.03
303,-3840.4212445,33.29
304,-3860.0704865000002,33.98
305,-3863.2315885000003,34.54
306,-3823.5314030000004,33.9
307,-3838.3313465,34.26
308,-3794.913453,33.14
309,-3734.6713555,32.45
310,-3744.766403,33.62
311,-3752.8345645,34.22
312,-3775.4322429999997,34.01
313,-3730.8066195,34.3
314,-3674.024931,34.33
315,-3726.991768,33.86
316,-3751.8237470000004,33.4
317,-3808.2851245,34.53
318,-3793.8186195000003,33.84
319,-3718.2908610000004,34.55
320,-3780.231657,34.6
321,-3736.228277,33.45
322,-3780.0662505,34.33
323,-3772.507436,33.92
324,-3778.388556,34.88
325,-3782.431826,34.75
326,-3724.0433315,32.56
327,-3708.0067774999998,34.52
328,-3832.1798,34.96
329,-3881.0377295000003,34.41
330,-3881.0613590000003,34.09
331,-3897.4838615,33.85
332,-3885.4800754999997,33.18
333,-3788.7881615,33.34
334,-3859.0465415,33.88
335,-3946.7723730000002,35.05
336,-3800.547776,35.01
337,-3822.439195,33.68
338,-3685.6742745,34.76
339,-3738.9666735,34.1
340,-3639.6072515,35.76
341,-3676.27761,34.55
342,-3814.6493365,35.01
343,-3774.9045175,34.73
344,-3718.6873115000003,36.04
345,-3742.2590505000003,36.75
346,-3779.5253975,35.91
347,-3778.2073965000004,34.39
348,-3822.5678445000003,35.87
349,-3777.3908659999997,35.95
350,-3798.8910855,36.12
351,-3789.3605205000003,34.44
352,-3840.9699739999996,36.36
353,-3823.5497815,36.33
354,-3896.446789,37.83
355,-3827.3803860000003,34.0
356,-3819.5248899999997,35.4
357,-3942.6240829999997,35.24
358,-3891.8810445000004,34.82
359,-3877.201874,35.01
360,-3866.5712245,33.86
361,-3801.324924,35.43
362,-3861.5066349999997,35.57
363,-3937.8167925000002,35.91
364,-3946.0661135,34.73
365,-3882.332101,34.62
366,-3836.559134,34.82
367,-3762.9716200000003,35.31
368,-3793.5718225,36.91
369,-3800.7604415,37.59
370,-3838.333972,36.97
371,-3884.3143535,36.66
372,-3887.7432565,36.66
373,-3871.3128775,36.62
374,-3903.5172605000002,36.52
375,-3880.6832870000003,37.14
376,-3936.485664,35.94
377,-3905.2212099999997,35.5
378,-3906.8752750000003,35.4
379,-3959.117474,37.62
380,-3987.394109,36.09
381,-3985.0652904999997,37.2
382,-3931.1611500000004,37.39
383,-3817.503255,36.95
384,-3864.799012,37.01
385,-3827.1992265,37.06
386,-3746.1185355,37.06
387,-3912.7642715,36.77
388,-3890.6680635000002,36.47
389,-3785.1124615,34.16
390,-3761.7192565,35.72
391,-3740.066758,36.12
392,-3747.5783134999997,37.11
393,-3717.266916,37.33
394,-3665.6312075,36.89
395,-3727.936948,37.3
396,-3772.643962,37.63
397,-3728.320271,37.4
398,-3655.756702,35.78
399,-3687.9059495,37.05
400,-3713.423184,37.48
401,-3724.1982359999997,37.05
402,-3670.470004,37.12
403,-3677.5089695,35.71
404,-3640.4001525,38.13
405,-3701.345884,37.29
406,-3725.3665835,36.66
407,-3712.241709,37.25
408,-3699.6629385,37.79
409,-3730.740982,37.71
410,-3756.5785275000003,37.31
411,-3729.7537939999997,37.79
412,-3625.889014,37.05
413,-3734.852515,36.73
414,-3675.5319680000002,37.41
415,-3638.8589840000004,37.95
416,-3693.6610455,37.6
417,-3613.2419805000004,37.12
418,-3739.4812715000003,37.48
419,-3714.7910695,38.19
420,-3705.5808155,37.62
421,-3702.1624145,37.29
422,-3662.383464,37.7
423,-3696.0449995,36.6
424,-3697.5284070000002,36.26
425,-3735.0179215,37.01
426,-3621.0580940000004,37.15
427,-3678.5014085000003,36.49
428,-3709.6975995000003,35.9
429,-3667.702727,37.36
430,-3786.805909,37.39
431,-3625.983532,38.34
432,-3719.477587,37.31
433,-3735.9105915,37.12
434,-3760.5062755,35.97
435,-3815.9909669999997,36.83
436,-3810.7609709999997,36.53
437,-3853.6537645,37.63
438,-3776.020355,36.99
439,-3873.2294925,36.94
440,-3847.166154,36.28
441,-3793.469428,35.88
442,-3799.5658390000003,36.04
443,-3758.1144449999997,35.42
444,-3782.6129855,35.07
445,-3801.35643,35.24
446,-3746.173671,35.33
447,-3752.7085405,35.78
448,-3732.5683299999996,35.8
449,-3764.384139,36.29
450,-3839.0822395,36.41
451,-3848.6180555,37.4
452,-3873.3712695000004,38.64
453,-3921.5623219999998,37.7
454,-3932.626179,37.46
455,-3915.4947915000002,37.49
456,-3886.5460285,37.09
457,-3824.644615,35.89
458,-3762.1472129999997,36.61
459,-3737.3441144999997,36.16
460,-3791.1878684999997,35.84
461,-3761.0550049999997,37.01
462,-3862.0527389999997,37.4
463,-3768.532429,35.48
464,-3789.447162,35.5
465,-3755.4731920000004,34.55
466,-3740.3529375000003,34.77
467,-3633.3270555,34.45
468,-3816.873135,35.83
469,-3803.9241690000003,34.32
470,-3804.1000775,34.79
471,-3764.9433705,35.35
472,-3721.667254,35.18
473,-3773.284584,35.94
474,-3756.7990695000003,35.02
475,-3762.9689945,34.91
476,-3767.408715,34.89
477,-3771.063411,35.82
478,-3738.4520755000003,35.89
479,-3784.0412575,35.85
480,-3717.6948724999997,34.32
481,-3749.550064,35.92
482,-3768.7713495,36.52
483,-3790.5787524999996,35.93
484,-3726.9786405000004,33.69
485,-3749.4686735,34.94
486,-3764.567924,35.76
487,-3742.2590505000003,35.46
488,-3726.5848155,35.81
489,-3667.7158545,36.35
490,-3652.2332810000003,35.88
491,-3698.2556704999997,35.61
492,-3653.3990029999995,35.68
493,-3670.6669165,36.01
494,-3639.683391,35.69
495,-3650.9074035000003,36.14
496,-3724.3347619999995,35.74
497,-3784.23817,36.65
498,-3802.2517255000002,36.4
