model,Gsolv,timing
221,-1981.596125,31.83
222,-2014.3597395000002,31.41
223,-2013.0207345000001,31.95
224,-2004.290947,32.41
225,-2014.0761855,32.64
226,-2058.344741,32.79
227,-2011.6502235,32.68
228,-1976.240105,32.75
229,-1993.7600665,33.04
230,-1986.4401725,34.25
231,-1951.518397,33.84
232,-1996.1282675,32.62
233,-2013.9737910000001,31.65
234,-2046.2175565,31.5
235,-1992.134882,31.73
236,-1992.780755,31.65
237,-1956.7930265000002,31.44
238,-1973.766884,30.9
239,-1961.5346795,30.36
240,-1953.3536215000001,31.05
241,-1918.2874434999999,31.43
242,-1933.223913,30.16
243,-1951.0379305,31.98
244,-1943.76267,32.32
245,-1897.3727104999998,31.38
246,-1938.7033314999999,30.92
247,-1933.7805190000001,31.41
248,-1919.4636675,32.74
249,-1913.9238625,32.67
250,-1940.1762370000001,31.64
251,-1946.8056245,31.78
252,-1946.529947,31.26
253,-1954.511467,31.04
254,-1945.768552,31.02
255,-1906.4516895000002,30.79
256,-1967.7833695,30.63
257,-1956.879668,30.24
258,-1930.2177155,30.79
259,-1929.0782485000002,30.2
260,-1915.9507485000001,29.2
261,-1986.6502125,30.7
262,-1942.5050555,30.41
263,-1971.8108865,30.48
264,-1970.243463,30.42
265,-1967.3002775,30.82
266,-1974.6359244999999,30.81
267,-1971.6349779999998,32.23
268,-1980.6771999999999,31.16
269,-1934.2819895,30.57
270,-1956.1025200000001,30.87
271,-1909.0378070000002,31.95
272,-1914.084018,32.0
273,-1929.516707,31.61
274,-1998.971684,31.63
275,-2000.4393385,31.35
276,-1957.8694815,31.79
277,-1980.0812114999999,31.42
278,-2008.1163004999999,31.33
279,-2025.2975725000001,30.91
280,-2015.2366565,31.47
281,-2019.056759,30.55
282,-2036.647609,29.47
283,-1985.838933,30.86
284,-2041.8959835,31.01
285,-2031.464872,31.5
286,-1999.1160865,30.99
287,-1995.3406175,31.37
288,-1962.130668,31.57
289,-1961.8812455000002,29.78
290,-2024.7567195000001,31.09
291,-2029.6664045000002,31.65
292,-1989.8375695000002,31.26
293,-2026.0799714999998,29.67
294,-1966.373476,29.77
295,-1964.9504550000001,30.62
296,-2025.5417439999999,31.21
297,-1999.4810309999998,30.17
298,-2053.5059445,30.04
299,-2041.4864054999998,30.08
300,-2036.2196525,31.14
301,-2007.3785349999998,31.19
302,-1999.7672105,31.44
303,-2005.209872,29.85
304,-2069.970455,30.16
305,-2064.5881799999997,30.14
306,-2035.9177200000001,30.73
307,-1997.3806310000002,30.18
308,-1975.410447,30.47
309,-1972.8190785000002,29.79
310,-1982.835361,31.18
311,-2013.616723,30.16
312,-1989.5041310000001,29.46
313,-2027.67365,29.97
314,-1982.8773689999998,30.08
315,-1951.8675884999998,29.96
316,-1955.7612049999998,30.48
317,-1999.9404935,30.62
318,-2014.3282335000001,31.34
319,-1992.6337270000001,30.56
320,-1970.5348935,30.2
321,-1976.8964799999999,30.41
322,-1930.1074445,29.64
323,-1947.1968239999999,28.53
324,-1931.3388040000002,29.8
325,-1956.3834485,30.63
326,-1998.2391695000001,30.74
327,-2015.5412145,29.97
328,-1966.2290735000001,30.94
329,-2021.1545334999998,29.6
330,-1977.8652895,29.79
331,-2013.7453725,29.14
332,-2005.577442,29.71
333,-2017.22416,29.84
334,-1983.166174,31.09
335,-1984.4290394999998,29.1
336,-1996.7321325,28.74
337,-1998.420329,28.69
338,-1973.4386964999999,29.48
339,-1998.0107509999998,29.47
340,-1957.2813695,29.96
341,-1958.7569005,29.88
342,-2032.966658,28.97
343,-2026.072095,28.88
344,-2028.912886,29.62
345,-2003.865616,29.87
346,-1996.5430965,28.61
347,-1997.0524435,29.32
348,-1965.3626585,29.72
349,-1980.1310959999998,29.55
350,-1963.852996,29.56
351,-1971.9159065000001,29.09
352,-1950.016611,29.91
353,-1970.1148134999999,29.21
354,-1946.1676280000001,29.26
355,-2005.587944,29.44
356,-1975.9224195,29.29
357,-1994.413816,28.83
358,-1972.0419305,29.34
359,-2024.376022,29.31
360,-2012.8106945,28.48
361,-1954.411698,28.89
362,-1959.3948970000001,28.75
363,-1995.043936,30.21
364,-1970.453503,30.13
365,-1940.6750820000002,29.53
366,-1985.2481954999998,28.97
367,-1980.2938769999998,29.6
368,-1999.5492940000001,28.85
369,-1991.688547,29.51
370,-1978.975876,30.44
371,-1950.7543764999998,29.0
372,-1976.775707,29.63
373,-1949.7094275,29.32
374,-1947.4199915,30.25
375,-1926.3976129999999,29.47
376,-1929.6978665000001,31.07
377,-1978.6004295,30.78
378,-1961.0830935,31.12
379,-1979.3040635,30.92
380,-1987.55601,31.18
381,-1943.9280765,30.76
382,-1957.583302,30.94
383,-1909.4185045,30.14
384,-1948.2916575,31.51
385,-2004.5456205,30.49
386,-1935.8887955,31.36
387,-1945.1148025,31.16
388,-1994.6527365000002,30.53
389,-1910.4424495,30.68
390,-1946.0914885,30.38
391,-1968.993725,30.05
392,-1958.580992,30.77
393,-1981.758906,30.78
394,-2017.922543,30.75
395,-1981.9978265,30.86
396,-2023.2706864999998,30.71
397,-1976.1954715,31.16
398,-1953.0936970000002,30.32
399,-1988.3856680000001,30.18
400,-1979.9079285,30.38
401,-1994.5109595000001,30.36
402,-1934.132336,30.1
403,-1964.246821,31.0
404,-2003.419281,30.06
405,-2017.5339689999998,29.96
406,-1976.4895275,29.86
407,-2019.0725120000002,29.78
408,-1889.6694934999998,30.34
409,-1940.6987115,30.91
410,-1957.4100190000001,29.94
411,-2001.644443,31.03
412,-1974.538781,31.19
413,-1961.5399304999999,29.07
414,-1994.3613059999998,30.48
415,-1951.5761579999999,29.45
416,-1947.5932745,30.56
417,-1964.8795665,31.29
418,-1966.1608104999998,29.65
419,-1953.9154784999998,30.47
420,-1991.3446065,31.07
421,-1976.7940855,31.34
422,-1967.9986605,30.48
423,-1978.009692,30.74
424,-1932.184215,30.97
425,-1992.9094045000002,30.07
426,-1981.8796790000001,29.83
427,-1927.489821,29.65
428,-1949.2184590000002,29.49
429,-1959.0562074999998,29.77
430,-1998.7590185000001,31.76
431,-2000.237175,30.02
432,-2020.3826365,29.68
433,-2024.8302335,29.83
434,-2018.300615,29.64
435,-2011.0306055,30.81
436,-2037.6006655,31.12
437,-1998.8509110000002,30.76
438,-1980.9318735,31.93
439,-1971.2805354999998,31.82
440,-2055.2414000000003,31.2
441,-2053.014976,31.36
442,-1989.2547084999999,30.38
443,-1962.8159234999998,30.15
444,-1965.4466745,29.33
445,-2004.8396765,30.17
446,-1997.4751489999999,30.51
447,-2043.206108,30.24
448,-1975.604734,30.97
449,-2078.6687365,30.04
450,-2030.8373775,30.88
451,-2055.094372,31.39
452,-2073.310091,30.79
453,-2009.9278955,30.74
454,-1968.1771945,30.78
455,-2008.2685794999998,30.65
456,-2017.497212,31.3
457,-1995.611044,30.31
458,-2023.6093759999999,31.07
459,-2007.7592325,30.08
460,-1950.2187744999999,31.37
461,-2025.4971105,30.65
462,-1972.963481,30.21
463,-1947.6300314999999,30.36
464,-1977.636871,30.09
465,-2006.4858649999999,29.34
466,-1948.9585344999998,30.31
467,-1943.3819725,30.11
468,-1980.178355,29.04
469,-2036.6607365000002,29.24
470,-2010.4162385000002,30.15
471,-2034.3607984999999,28.8
472,-1985.8021760000001,28.55
473,-1939.519862,29.41
474,-1967.087612,28.54
475,-2012.7791885,29.18
476,-2032.9797855000002,29.04
477,-1994.965171,29.08
478,-1989.1103059999998,29.41
479,-2034.4973245,29.04
480,-2036.096254,28.43
481,-2042.712514,28.77
482,-2005.6168245,29.11
483,-1989.4043619999998,29.4
484,-2035.3374845,28.83
485,-2022.3255065,28.18
486,-2019.0935160000001,28.35
487,-2071.4591135,28.13
488,-2030.2151339999998,28.36
489,-2031.3834815,29.11
490,-2007.1684950000001,29.39
491,-2002.9388145,29.93
492,-2024.5414285,28.85
493,-1948.241773,29.69
494,-1992.896277,28.86
495,-2010.5396369999999,29.26
496,-2038.769013,28.35
497,-2042.7151394999999,29.1
498,-2035.6052855,29.87
499,-2018.0905750000002,28.52
500,-1999.869605,28.79
501,-1997.9162330000001,28.59
502,-1949.8669575000001,29.19
503,-1962.4142219999999,29.01
504,-2013.6088465,28.71
505,-2007.336527,29.57
506,-1988.569453,28.81
507,-2037.9892395,28.85
508,-2000.3316929999999,29.19
509,-1950.016611,29.08
510,-2007.82487,29.17
511,-1991.573025,29.29
512,-2001.1219684999999,29.6
513,-1966.9274565,29.01
514,-2036.815641,29.97
515,-2046.9264415,29.0
516,-2020.6924455,30.05
517,-1986.2327579999999,29.3
518,-2047.0262105,29.16
519,-2000.6861354999999,28.0
520,-2036.5819715,28.02
521,-2032.6200919999999,28.83
522,-1975.0113709999998,29.07
523,-2013.8871494999999,29.18
524,-2007.641085,29.03
525,-1997.842719,28.56
526,-1986.5504435,28.41
527,-2039.6853125,28.25
528,-2001.1639765,28.7
529,-1980.8005985,28.25
530,-1948.3809244999998,29.55
531,-1938.165104,29.21
532,-1965.7827385,29.04
533,-1944.849627,29.16
534,-1969.8680165,29.12
535,-2012.7529335,28.71
536,-2012.5796504999998,29.63
537,-2008.6308985,30.1
538,-2029.6611535,30.64
539,-1951.670676,31.54
540,-2077.3848669999998,30.6
541,-2013.0128579999998,29.44
542,-2047.5775655000002,29.33
543,-2009.8281265,29.79
544,-2055.6325995,29.34
545,-2017.9986825,28.95
546,-2013.5720895,30.35
547,-2015.4729515000001,28.99
548,-1975.126893,29.47
549,-1980.6220645,29.36
550,-2015.2366565,29.68
551,-1996.2779209999999,29.27
552,-1999.8722305000001,29.69
553,-2041.236983,29.78
554,-2027.153801,29.64
555,-2050.9775879999997,30.16
556,-2048.866686,29.52
557,-2035.8783375,31.05
558,-2095.196259,30.72
559,-2117.8516985,30.19
560,-2100.6966815,30.14
561,-2097.5145755,29.11
562,-2085.4582795,29.7
563,-2066.3840219999997,29.59
564,-2032.0451075,28.87
565,-2038.3463075,28.84
566,-2075.336977,28.51
567,-2103.1488985,28.9
568,-2075.3212240000003,29.11
569,-2099.3182939999997,28.62
570,-2092.4709900000003,29.1
571,-2091.310519,29.05
572,-2062.5114095,29.33
573,-2095.101741,29.43
574,-2116.720108,29.7
575,-2111.53212,29.7
576,-2075.5811485,30.01
577,-2090.68565,30.34
578,-2061.133022,29.56
579,-2069.6160124999997,30.1
580,-2088.474979,29.08
581,-2070.390535,29.69
582,-2111.311578,28.88
583,-2098.2418390000003,29.4
584,-2111.148797,29.7
585,-2164.3939370000003,30.9
586,-2147.3833225000003,29.44
587,-2154.206997,29.81
588,-2171.745337,30.09
589,-2186.3142365,30.45
590,-2192.7309585,30.72
591,-2143.9596705,30.12
592,-2120.5533379999997,31.33
593,-2133.0480925,30.25
594,-2161.0201695,30.37
595,-2167.4158875,30.8
596,-2137.0598565,30.12
597,-2098.5700265,30.64
598,-2108.8042255,30.39
599,-2120.863147,30.64
600,-2122.007865,30.19
601,-2117.7099215,30.12
602,-2075.7570570000003,29.72
603,-2075.4026145000003,30.02
604,-2111.232813,30.53
605,-2124.5414725,31.72
606,-2136.269581,32.87
607,-2106.4832834999997,30.75
608,-2103.0018705,30.55
609,-2132.1055380000003,31.91
610,-2126.859789,30.22
611,-2165.2104675,30.06
612,-2119.4480025,30.56
613,-2177.6553375,30.33
614,-2142.8884665,31.7
615,-2144.1907145,30.2
616,-2150.730835,30.08
617,-2134.6076395,29.31
618,-2171.8792375,28.85
619,-2217.276758,29.34
620,-2187.508839,28.39
621,-2170.175288,29.01
622,-2164.5803475,29.02
623,-2120.422063,29.5
624,-2152.605442,29.47
625,-2090.302327,29.3
626,-2087.2173645,30.21
627,-2134.9752095,29.44
628,-2128.6950134999997,28.83
629,-2149.4364635,29.65
630,-2154.285762,29.39
631,-2083.9302385,28.97
632,-2082.2131615000003,28.9
633,-2097.690484,29.65
634,-2090.4546060000002,29.84
635,-2095.5559525,29.24
636,-2101.549969,29.75
637,-2090.1526735,30.73
638,-2159.4396185,29.03
639,-2104.401262,30.2
640,-2095.0859880000003,31.08
641,-2147.1942865,30.99
642,-2076.045862,29.35
643,-2055.7113645,30.22
644,-2098.016046,29.85
645,-2089.630199,29.74
646,-2103.204034,29.73
647,-2049.5414395000003,29.73
648,-2071.8109305,30.01
649,-2088.1467915,31.03
650,-2057.7487525,31.45
651,-2045.201488,31.02
652,-2094.1749395,30.31
653,-2096.1834470000003,31.48
654,-2108.554803,31.55
655,-2075.9802245,31.83
656,-2046.6533895,31.15
657,-2085.161598,30.28
658,-2114.383413,30.27
659,-2074.1423745,29.55
660,-2077.1879544999997,31.04
661,-2101.9332919999997,30.81
662,-2060.7943325,30.46
663,-2129.5351735,31.52
664,-2116.079486,31.33
665,-2121.0390555000004,32.65
666,-2139.36242,32.07
667,-2102.5135275,30.49
668,-2130.661513,30.66
669,-2148.7065745,29.8
670,-2084.373948,31.44
671,-2140.528142,31.04
672,-2153.902439,30.69
673,-2176.5001174999998,30.58
674,-2124.9878075,31.45
675,-2160.497695,30.84
676,-2153.1016615000003,31.32
677,-2128.8866749999997,31.06
678,-2201.308467,31.08
679,-2170.416834,30.47
680,-2172.0000105,30.23
681,-2108.5469265,30.52
682,-2125.3711305,29.58
683,-2077.185329,30.17
684,-2065.6147505,30.24
685,-2090.764415,30.51
686,-2099.2657839999997,29.6
687,-2105.6798805,30.79
688,-2132.8275505,30.37
